Symbol,Sector,Industry,Company_Name
TITAN.NS,Consumer Cyclical,Luxury Goods,Titan Company Limited
TOKYOPLAST.NS,Consumer Cyclical,Packaging & Containers,Tokyo Plast International Limited
TOLINS.NS,Consumer Cyclical,Auto Parts,TOLINS TYRES LIMITED
TORNTPHARM.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Torrent Pharmaceuticals Limited
TORNTPOWER.NS,Utilities,Utilities - Independent Power Producers,Torrent Power Limited
TOTAL.NS,Industrials,Integrated Freight & Logistics,Total Transport Systems Limited
TOUCHWOOD.NS,Communication Services,Advertising Agencies,Touchwood Entertainment Limited
TFCILTD.NS,Financial Services,Credit Services,Tourism Finance Corporation of India Limited
TPLPLASTEH.NS,Consumer Cyclical,Packaging & Containers,TPL Plastech Limited
TRACXN.NS,Technology,Software - Application,Tracxn Technologies Limited
TARIL.NS,Industrials,Electrical Equipment & Parts,TRANS & RECTI. LTD
TREL.NS,Real Estate,Real Estate Services,Transindia Real Estate Limited
TCI.NS,Industrials,Integrated Freight & Logistics,Transport Corporation of India Limited
TRANSRAILL.NS,Industrials,Engineering & Construction,TRANSRAIL LIGHTING LTD
TFL.NS,Financial Services,Mortgage Finance,Transwarranty Finance Limited
TRANSWORLD.NS,Industrials,Marine Shipping,Transworld Shipping Lines Limited
TREEHOUSE.NS,Consumer Defensive,Education & Training Services,Tree House Education & Accessories Limited
TREJHARA.NS,Technology,Software - Application,Trejhara Solutions Limited
TRENT.NS,Consumer Cyclical,Apparel Retail,Trent Limited
TRF.NS,Industrials,Specialty Industrial Machinery,TRF Limited
TBZ.NS,Consumer Cyclical,Luxury Goods,Tribhovandas Bhimji Zaveri Limited
TRIDENT.NS,Consumer Cyclical,Textile Manufacturing,Trident Limited
TRIGYN.NS,Technology,Information Technology Services,Trigyn Technologies Limited
TRIVENI.NS,Consumer Defensive,Confectioners,Triveni Engineering & Industries Limited
TRITURBINE.NS,Industrials,Specialty Industrial Machinery,Triveni Turbine Limited
TTKHLTCARE.NS,Healthcare,Drug Manufacturers - General,TTK Healthcare Limited
TTKPRESTIG.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",TTK Prestige Limited
TIINDIA.NS,Industrials,Conglomerates,Tube Investments of India Limited
TVTODAY.NS,Communication Services,Broadcasting,T.V. Today Network Limited
TVSELECT.NS,Technology,Computer Hardware,TVS Electronics Limited
TVSHLTD.NS,Consumer Cyclical,Auto Parts,TVS Holdings Limited
TVSMOTOR.NS,Consumer Cyclical,Auto Manufacturers,TVS Motor Company Limited
