Symbol,Sector,Industry,Company_Name
AVL.NS,Consumer Cyclical,Specialty Retail,Aditya Vision Limited
BSLGOLDETF.NS,Unknown,Unknown,Aditya Birla Sun Life Gold ETF
BSLNIFTY.NS,Unknown,Unknown,Aditya Birla Sun Life Nifty 50 ETF
ADOR.NS,Industrials,Specialty Industrial Machinery,Ador Welding Limited
ADROITINFO.NS,Technology,Information Technology Services,Adroit Infotech Limited
ADVENZYMES.NS,Basic Materials,Specialty Chemicals,Advanced Enzyme Technologies Limited
ADVANIHOTR.NS,Consumer Cyclical,Lodging,Advani Hotels & Resorts (India) Limited
AEGISLOG.NS,Energy,Oil & Gas Refining & Marketing,AEGIS LOGISTICS LIMITED
AEGISVOPAK.NS,Energy,Oil & Gas Equipment & Services,AEGIS VOPAK TERMINALS LTD
AEROFLEX.NS,Industrials,Metal Fabrication,Aeroflex Industries Limited
AETHER.NS,Basic Materials,Specialty Chemicals,Aether Industries Limited
AFCONS.NS,Industrials,Engineering & Construction,AFCONS INFRASTRUCTURE LTD
AFFLE.NS,Communication Services,Advertising Agencies,Affle 3i Limited
AFFORDABLE.NS,Industrials,Specialty Industrial Machinery,Affordable Robotic & Automation Limited
AGARIND.NS,Basic Materials,Specialty Chemicals,Agarwal Industrial Corporation Limited
AGI.NS,Consumer Cyclical,Packaging & Containers,AGI Greenpac Limited
AGIIL.NS,Real Estate,Real Estate - Development,AGI Infra Limited
AGRITECH.NS,Consumer Defensive,Farm Products,Agri-tech (India) Limited
AGROPHOS.NS,Basic Materials,Agricultural Inputs,Agro Phos (India) Limited
AHLADA.NS,Industrials,Building Products & Equipment,Ahlada Engineers Limited
AHLUCONT.NS,Industrials,Engineering & Construction,Ahluwalia Contracts (India) Limited
AIAENG.NS,Industrials,Specialty Industrial Machinery,AIA Engineering Limited
GOLDTECH.NS,Technology,Information Technology Services,AION-TECH Solutions Limited
AIRAN.NS,Technology,Information Technology Services,Airan Limited
AIROLAM.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Airo Lam Limited
AJANTPHARM.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Ajanta Pharma Limited
AJAXENGG.NS,Industrials,Farm & Heavy Construction Machinery,AJAX ENGINEERING LIMITED
AJMERA.NS,Real Estate,Real Estate - Development,Ajmera Realty & Infra India Limited
AJOONI.NS,Consumer Defensive,Packaged Foods,Ajooni Biotech Limited
AKASH.NS,Industrials,Engineering & Construction,Akash Infra-Projects Limited
AKG.NS,Industrials,Industrial Distribution,AKG Exim Limited
AFIL.NS,Financial Services,Credit Services,AKME FINTRADE (INDIA) LTD
AKSHOPTFBR.NS,Technology,Communication Equipment,Aksh Optifibre Limited
AKSHAR.NS,Consumer Cyclical,Textile Manufacturing,Akshar Spintex Limited
AKSHARCHEM.NS,Basic Materials,Specialty Chemicals,AksharChem (India) Limited
AKUMS.NS,Healthcare,Drug Manufacturers - Specialty & Generic,AKUMS DRUGS AND PHARMA L
AKZOINDIA.NS,Basic Materials,Specialty Chemicals,Akzo Nobel India Limited
ALANKIT.NS,Technology,Information Technology Services,Alankit Limited
ALBERTDAVD.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Albert David Limited
ALEMBICLTD.NS,Real Estate,Real Estate - Development,Alembic Limited
APLLTD.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Alembic Pharmaceuticals Limited
ALICON.NS,Industrials,Metal Fabrication,Alicon Castalloy Limited
ALIVUS.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Alivus Life Sciences Limited
ALKALI.NS,Basic Materials,Specialty Chemicals,Alkali Metals Limited
ALKEM.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Alkem Laboratories Limited
ALKYLAMINE.NS,Basic Materials,Specialty Chemicals,Alkyl Amines Chemicals Limited
ACLGATI.NS,Industrials,Integrated Freight & Logistics,Allcargo Gati Limited
ALLCARGO.NS,Industrials,Integrated Freight & Logistics,Allcargo Logistics Limited
ATL.NS,Industrials,Integrated Freight & Logistics,Allcargo Terminals Limited
ALLDIGI.NS,Industrials,Specialty Business Services,Alldigi Tech Limited
ABDL.NS,Consumer Defensive,Beverages - Wineries & Distilleries,ALLIED BLEND N DISTILS L
ADSL.NS,Technology,Information Technology Services,Allied Digital Services Limited
ALMONDZ.NS,Financial Services,Capital Markets,Almondz Global Securities Limited
ALOKINDS.NS,Consumer Cyclical,Textile Manufacturing,Alok Industries Limited
ALPA.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Alpa Laboratories Limited
ALPHAGEO.NS,Energy,Oil & Gas Equipment & Services,Alphageo (India) Limited
ALPSINDUS.NS,Consumer Cyclical,Textile Manufacturing,Alps Industries Limited
ARE&M.NS,Industrials,Electrical Equipment & Parts,Amara Raja Energy & Mobility Limited
AMBER.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Amber Enterprises India Limited
AMBICAAGAR.NS,Consumer Defensive,Household & Personal Products,Ambica Agarbathies Aroma & Industries Limited
AMBIKCO.NS,Consumer Cyclical,Textile Manufacturing,Ambika Cotton Mills Limited
AMBUJACEM.NS,Basic Materials,Building Materials,Ambuja Cements Limited
AMDIND.NS,Consumer Cyclical,Packaging & Containers,AMD Industries Limited
AMNPLST.NS,Basic Materials,Chemicals,Amines & Plasticizers Limited
AMJLAND.NS,Real Estate,Real Estate - Development,AMJ Land Holdings Limited
AMRUTANJAN.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Amrutanjan Health Care Limited
ANANDRATHI.NS,Financial Services,Asset Management,Anand Rathi Wealth Limited
ANANTRAJ.NS,Real Estate,Real Estate - Development,Anant Raj Limited
ACL.NS,Basic Materials,Building Materials,Andhra Cements Limited
ANDHRAPAP.NS,Basic Materials,Paper & Paper Products,Andhra Paper Limited
ANDHRSUGAR.NS,Basic Materials,Chemicals,The Andhra Sugars Limited
ANGELONE.NS,Financial Services,Capital Markets,Angel One Limited
ANIKINDS.NS,Consumer Defensive,Food Distribution,Anik Industries Limited
APCL.NS,Basic Materials,Building Materials,Anjani Portland Cement Limited
ANKITMETAL.NS,Basic Materials,Steel,Ankit Metal & Power Limited
ANMOL.NS,Energy,Thermal Coal,Anmol India Limited
ANTGRAPHIC.NS,Consumer Cyclical,Packaging & Containers,Antarctica Limited
AWHCL.NS,Industrials,Waste Management,Antony Waste Handling Cell Limited
ANUHPHR.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Anuh Pharma Limited
ANURAS.NS,Basic Materials,Specialty Chemicals,Anupam Rasayan India Ltd
AONELIQUID.NS,Unknown,Unknown,Angel One Mutual Fund - Nifty 1D Rate Liquid Etf Growth
AONENIFTY.NS,Unknown,Unknown,Angel One Asset Management Co. Ltd. - Angel One Nifty 50 ETF
AONETOTAL.NS,Unknown,Unknown,Angel One Mutual Fund - Angel One Nifty Total Market Etf
APARINDS.NS,Industrials,Electrical Equipment & Parts,APAR Industries Limited
APCOTEXIND.NS,Basic Materials,Specialty Chemicals,Apcotex Industries Limited
APEX.NS,Consumer Defensive,Farm Products,Apex Frozen Foods Limited
APLAPOLLO.NS,Basic Materials,Steel,APL Apollo Tubes Limited
APOLLOHOSP.NS,Healthcare,Medical Care Facilities,Apollo Hospitals Enterprise Limited
APOLLO.NS,Industrials,Aerospace & Defense,Apollo Micro Systems Limited
APOLLOPIPE.NS,Industrials,Building Products & Equipment,Apollo Pipes Limited
APOLSINHOT.NS,Industrials,Specialty Business Services,Apollo Sindoori Hotels Limited
APOLLOTYRE.NS,Consumer Cyclical,Auto Parts,Apollo Tyres Limited
APTUS.NS,Financial Services,Mortgage Finance,Aptus Value Housing Finance India Limited
ACI.NS,Basic Materials,Chemicals,Archean Chemical Industries Limited
ARCHIDPLY.NS,Basic Materials,Lumber & Wood Production,Archidply Industries Limited
ARCHIES.NS,Consumer Cyclical,Specialty Retail,Archies Limited
ARIES.NS,Basic Materials,Agricultural Inputs,Aries Agro Limited
ARIHANTCAP.NS,Financial Services,Capital Markets,Arihant Capital Markets Limited
ARIHANTSUP.NS,Real Estate,Real Estate - Development,Arihant Superstructures Limited
ARKADE.NS,Real Estate,Real Estate - Development,ARKADE DEVELOPERS LIMITED
ARMANFIN.NS,Financial Services,Credit Services,Arman Financial Services Limited
AROGRANITE.NS,Industrials,Building Products & Equipment,Aro Granite Industries Limited
ARSHIYA.NS,Industrials,Integrated Freight & Logistics,Arshiya Limited
ARSSINFRA.NS,Industrials,Infrastructure Operations,ARSS Infrastructure Projects Limited
ARTEMISMED.NS,Unknown,Unknown,Artemis Medicare Services Limited
ARVEE.NS,Basic Materials,Specialty Chemicals,Arvee Laboratories (India) Ltd.
ARVINDFASN.NS,Consumer Cyclical,Apparel Manufacturing,Arvind Fashions Limited
ARVIND.NS,Consumer Cyclical,Textile Manufacturing,Arvind Limited
ARVSMART.NS,Real Estate,Real Estate - Development,Arvind SmartSpaces Limited
ASAHIINDIA.NS,Consumer Cyclical,Auto Parts,Asahi India Glass Limited
ASAHISONG.NS,Basic Materials,Specialty Chemicals,Asahi Songwon Colors Limited
ASHAPURMIN.NS,Basic Materials,Other Industrial Metals & Mining,Ashapura Minechem Limited
ASHIANA.NS,Real Estate,Real Estate - Development,Ashiana Housing Limited
ASHIMASYN.NS,Consumer Cyclical,Textile Manufacturing,Ashima Limited
ASHOKLEY.NS,Industrials,Farm & Heavy Construction Machinery,Ashok Leyland Limited
ASHOKA.NS,Industrials,Engineering & Construction,Ashoka Buildcon Limited
ASHOKAMET.NS,Basic Materials,Steel,Ashoka Metcast Limited
ASIANENE.NS,Energy,Oil & Gas Equipment & Services,Asian Energy Services Limited
ASIANTILES.NS,Industrials,Building Products & Equipment,Asian Granito India Limited
AHLEAST.NS,Consumer Cyclical,Lodging,Asian Hotels (East) Limited
ASIANHOTNR.NS,Consumer Cyclical,Lodging,Asian Hotels (North) Limited
ASIANPAINT.NS,Basic Materials,Specialty Chemicals,Asian Paints Limited
ASKAUTOLTD.NS,Consumer Cyclical,Auto Parts,ASK AUTOMOTIVE LIMITED
ASPINWALL.NS,Consumer Defensive,Farm Products,Aspinwall and Company Limited
ASALCBR.NS,Consumer Defensive,Beverages - Wineries & Distilleries,Associated Alcohols & Breweries Limited
ASTEC.NS,Basic Materials,Agricultural Inputs,Astec LifeSciences Limited
ASTERDM.NS,Healthcare,Medical Care Facilities,Aster DM Healthcare Limited
ASTRAMICRO.NS,Technology,Communication Equipment,Astra Microwave Products Limited
ASTRAL.NS,Industrials,Building Products & Equipment,Astral Limited
ASTRAZEN.NS,Healthcare,Drug Manufacturers - Specialty & Generic,AstraZeneca Pharma India Limited
ASTRON.NS,Basic Materials,Paper & Paper Products,Astron Paper & Board Mill Limited
ATALREAL.NS,Industrials,Engineering & Construction,Atal Realtech Limited
ATAM.NS,Industrials,Specialty Industrial Machinery,Atam Valves Limited
ATHERENERG.NS,Consumer Cyclical,Auto Manufacturers,Ather Energy Limited
ATLANTAA.NS,Industrials,Infrastructure Operations,Atlantaa Limited
ATULAUTO.NS,Consumer Cyclical,Auto Manufacturers,Atul Auto Limited
ATUL.NS,Basic Materials,Specialty Chemicals,Atul Ltd
AUBANK.NS,Financial Services,Banks - Regional,AU Small Finance Bank Limited
AURIONPRO.NS,Technology,Software - Infrastructure,Aurionpro Solutions Limited
AUROPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Aurobindo Pharma Limited
AURUM.NS,Real Estate,Real Estate Services,Aurum PropTech Limited
AUSOMENT.NS,Financial Services,Capital Markets,AuSom Enterprise Limited
AIIL.NS,Financial Services,Capital Markets,Authum Investment & Infrastructure Limited
AUTOIND.NS,Consumer Cyclical,Auto Parts,Autoline Industries Limited
AUTOAXLES.NS,Consumer Cyclical,Auto Parts,Automotive Axles Limited
ASAL.NS,Consumer Cyclical,Auto Parts,Automotive Stampings and Assemblies Limited
AVADHSUGAR.NS,Consumer Defensive,Confectioners,Avadh Sugar & Energy Limited
AVALON.NS,Technology,Electronic Components,Avalon Technologies Limited
AVANTEL.NS,Technology,Communication Equipment,Avantel Limited
AVANTIFEED.NS,Consumer Defensive,Packaged Foods,Avanti Feeds Limited
DMART.NS,Consumer Defensive,Discount Stores,Avenue Supermarts Limited
AVG.NS,Industrials,Integrated Freight & Logistics,AVG Logistics Limited
AVONMORE.NS,Financial Services,Capital Markets,Avonmore Capital & Management Services Limited
AVROIND.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Avro India Limited
AVTNPL.NS,Basic Materials,Specialty Chemicals,AVT Natural Products Limited
AWFIS.NS,Industrials,Rental & Leasing Services,AWFIS SPACE SOLUTIONS LTD
AWL.NS,Consumer Defensive,Packaged Foods,AWL Agri Business Limited
AXISBANK.NS,Financial Services,Banks - Regional,Axis Bank Limited
AXISGOLD.NS,Unknown,Unknown,Axis Gold ETF
AXISBNKETF.NS,Unknown,Unknown,Axis NIFTY Bank ETF
AXISBPSETF.NS,Unknown,Unknown,Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF
AXISCETF.NS,Unknown,Unknown,Axis NIFTY India Consumption ETF
AXISHCETF.NS,Unknown,Unknown,Axis NIFTY Healthcare ETF
AXISILVER.NS,Unknown,Unknown,Axis Silver ETF
AXISNIFTY.NS,Unknown,Unknown,Axis NIFTY 50 ETF
AXISTECETF.NS,Unknown,Unknown,Axis NIFTY IT ETF
AXISVALUE.NS,Unknown,Unknown,Axis Amc Ltd. - Axis Mutual Fund - Axis Nifty500 Value 50 ETF
AXSENSEX.NS,Unknown,Unknown,Axis BSE Sensex ETF
AXISCADES.NS,Industrials,Engineering & Construction,AXISCADES Technologies Limited
AXITA.NS,Consumer Cyclical,Textile Manufacturing,Axita Cotton Limited
AYMSYNTEX.NS,Consumer Cyclical,Textile Manufacturing,AYM Syntex Limited
AZAD.NS,Industrials,Specialty Industrial Machinery,AZAD ENGINEERING LIMITED
BBTCL.NS,Consumer Cyclical,Packaging & Containers,B&B Triplewall Containers Limited
BAGFILMS.NS,Communication Services,Broadcasting,B.A.G. Films and Media Limited
BLKASHYAP.NS,Industrials,Engineering & Construction,B.L. Kashyap and Sons Limited
STYLEBAAZA.NS,Consumer Cyclical,Apparel Retail,Baazar Style Retail Limited
BAFNAPH.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Bafna Pharmaceuticals Limited
BAIDFIN.NS,Financial Services,Credit Services,Baid Finserv Limited
BAJAJ-AUTO.NS,Consumer Cyclical,Auto Manufacturers,Bajaj Auto Limited
BAJAJCON.NS,Consumer Defensive,Household & Personal Products,Bajaj Consumer Care Limited
BAJAJELEC.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Bajaj Electricals Limited
BAJFINANCE.NS,Financial Services,Credit Services,Bajaj Finance Limited
BAJAJFINSV.NS,Financial Services,Financial Conglomerates,Bajaj Finserv Ltd.
BAJAJHCARE.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Bajaj HealthCare Limited
BAJAJHIND.NS,Consumer Defensive,Confectioners,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG.NS,Financial Services,Asset Management,Bajaj Holdings & Investment Limited
BAJAJHFL.NS,Financial Services,Mortgage Finance,BAJAJ HOUSING FINANCE LTD
BAJEL.NS,Utilities,Utilities - Regulated Electric,Bajel Projects Limited
BALPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Bal Pharma Limited
BALAMINES.NS,Basic Materials,Specialty Chemicals,Balaji Amines Limited
BALAXI.NS,Healthcare,Biotechnology,Balaxi Pharmaceuticals Limited
BALKRISIND.NS,Consumer Cyclical,Auto Parts,Balkrishna Industries Limited
BALKRISHNA.NS,Consumer Cyclical,Packaging & Containers,Balkrishna Paper Mills Limited
BALMLAWRIE.NS,Industrials,Conglomerates,Balmer Lawrie & Co. Ltd.
BALRAMCHIN.NS,Consumer Defensive,Confectioners,Balrampur Chini Mills Limited
BALUFORGE.NS,Industrials,Metal Fabrication,Balu Forge Industries Limited
BANARBEADS.NS,Consumer Cyclical,Footwear & Accessories,Banaras Beads Limited
BANCOINDIA.NS,Consumer Cyclical,Auto Parts,Banco Products (India) Limited
BANDHANBNK.NS,Financial Services,Banks - Regional,Bandhan Bank Limited
BANG.NS,Consumer Cyclical,Apparel Manufacturing,Bang Overseas Limited
BANKBARODA.NS,Financial Services,Banks - Regional,Bank of Baroda Limited
BANKINDIA.NS,Financial Services,Banks - Regional,Bank of India Limited
MAHABANK.NS,Financial Services,Banks - Regional,Bank of Maharashtra
BANKA.NS,Industrials,Pollution & Treatment Controls,Banka BioLoo Limited
BASML.NS,Consumer Cyclical,Textile Manufacturing,Bannari Amman Spinning Mills Ltd
BANARISUG.NS,Consumer Defensive,Confectioners,Bannari Amman Sugars Limited
BANSALWIRE.NS,Basic Materials,Steel,BANSAL WIRE INDUSTRIES L
BANSWRAS.NS,Consumer Cyclical,Textile Manufacturing,Banswara Syntex Limited
BVCL.NS,Basic Materials,Building Materials,Barak Valley Cements Limited
BARBEQUE.NS,Consumer Cyclical,Restaurants,Barbeque-Nation Hospitality Limited
BBNPPGOLD.NS,Unknown,Unknown,Baroda BNP Paribas Gold ETF
ASMS.NS,Technology,Information Technology Services,Bartronics India Limited
BASF.NS,Basic Materials,Specialty Chemicals,BASF India Limited
BATAINDIA.NS,Consumer Cyclical,Footwear & Accessories,Bata India Limited
BAYERCROP.NS,Basic Materials,Agricultural Inputs,Bayer CropScience Limited
BCLIND.NS,Consumer Defensive,Beverages - Wineries & Distilleries,BCL Industries Limited
BEARDSELL.NS,Industrials,Building Products & Equipment,Beardsell Limited
BEDMUTHA.NS,Basic Materials,Steel,Bedmutha Industries Limited
BELRISE.NS,Consumer Cyclical,Auto Parts,BELRISE INDUSTRIES LTD
BLAL.NS,Financial Services,Shell Companies,BEML Land Assets Limited
BEML.NS,Industrials,Conglomerates,BEML Limited
BERGEPAINT.NS,Basic Materials,Specialty Chemicals,Berger Paints India Limited
BESTAGRO.NS,Basic Materials,Agricultural Inputs,Best Agrolife Limited
BFINVEST.NS,Financial Services,Asset Management,BF Investment Limited
BFUTILITIE.NS,Industrials,Infrastructure Operations,BF Utilities Limited
BANKBETF.NS,Unknown,Unknown,Bajaj Finserv Nifty Bank ETF
NIFTYBETF.NS,Unknown,Unknown,BFAM - NIFTYBETF
BGRENERGY.NS,Industrials,Engineering & Construction,BGR Energy Systems Limited
BHAGERIA.NS,Basic Materials,Specialty Chemicals,Bhageria Industries Limited
BHAGCHEM.NS,Basic Materials,Agricultural Inputs,Bhagiradha Chemicals & Industries Limited
BHAGYANGR.NS,Basic Materials,Copper,Bhagyanagar India Limited
BHANDARI.NS,Consumer Cyclical,Apparel Manufacturing,Bhandari Hosiery Exports Limited
BEPL.NS,Basic Materials,Chemicals,Bhansali Engineering Polymers Limited
BBL.NS,Industrials,Electrical Equipment & Parts,Bharat Bijlee Limited
BDL.NS,Industrials,Aerospace & Defense,Bharat Dynamics Limited
BEL.NS,Industrials,Aerospace & Defense,Bharat Electronics Limited
BHARATFORG.NS,Consumer Cyclical,Auto Parts,Bharat Forge Limited
BHARATGEAR.NS,Consumer Cyclical,Auto Parts,Bharat Gears Limited
BPCL.NS,Energy,Oil & Gas Refining & Marketing,Bharat Petroleum Corporation Limited
BHARATRAS.NS,Basic Materials,Agricultural Inputs,Bharat Rasayan Limited
BRNL.NS,Industrials,Infrastructure Operations,Bharat Road Network Limited
BHARATSE.NS,Consumer Cyclical,Auto Parts,Bharat Seats Limited
BHARATWIRE.NS,Basic Materials,Steel,Bharat Wire Ropes Limited
BGLOBAL.NS,Technology,Software - Application,Bharatiya Global Infomedia Limited
BHARTIARTL.NS,Communication Services,Telecom Services,Bharti Airtel Limited
BHARTIHEXA.NS,Communication Services,Telecom Services,BHARTI HEXACOM LIMITED
BIL.NS,Consumer Cyclical,Footwear & Accessories,Bhartiya International Ltd.
BHEL.NS,Industrials,Specialty Industrial Machinery,Bharat Heavy Electricals Limited
BIGBLOC.NS,Industrials,Building Products & Equipment,Bigbloc Construction Limited
BIKAJI.NS,Consumer Defensive,Packaged Foods,Bikaji Foods International Limited
BIOCON.NS,Healthcare,Biotechnology,Biocon Limited
BIOFILCHEM.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Biofil Chemicals and Pharmaceuticals Limited
BIRLACABLE.NS,Technology,Communication Equipment,Birla Cable Limited
BIRLACORPN.NS,Basic Materials,Building Materials,Birla Corporation Limited
BIRLANU.NS,Industrials,Building Products & Equipment,BirlaNu Limited
ABGSEC.NS,Unknown,Unknown,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF
ABSLBANETF.NS,Unknown,Unknown,Aditya Birla Sun Life Nifty Bank ETF
ABSLLIQUID.NS,Unknown,Unknown,Aditya BSL CRISIL Liquid Ovrnght ETF
ABSLNN50ET.NS,Unknown,Unknown,Aditya Birla Sun Life Nifty Next 50 ETF
BSLSENETFG.NS,Unknown,Unknown,Aditya Birla Sun Life S&P BSE Sensex ETF
HEALTHY.NS,Unknown,Unknown,Aditya Birla Sun Life Nifty Healthcare ETF
MOMENTUM.NS,Unknown,Unknown,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF
NIFTYQLITY.NS,Unknown,Unknown,Aditya Birla Sun Life Nifty 200 Quality 30 ETF
SILVER.NS,Unknown,Unknown,Aditya Birla Sun Life Silver ETF
TECH.NS,Unknown,Unknown,Aditya Birla Sun Life Nifty IT ETF
ABSLPSE.NS,Unknown,Unknown,Aditya Birla Sun Life Nifty PSE ETF
BSOFT.NS,Technology,Information Technology Services,Birlasoft Limited
BBOX.NS,Technology,Software - Application,Black Box Limited
BLBLIMITED.NS,Financial Services,Capital Markets,BLB Limited
BLISSGVS.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Bliss GVS Pharma Limited
BLSE.NS,Industrials,Specialty Business Services,BLS E-SERVICES LIMITED
BLS.NS,Industrials,Specialty Business Services,BLS International Services Limited
BLUECHIP.NS,Financial Services,Capital Markets,Blue Chip India Limited
BLUEDART.NS,Industrials,Integrated Freight & Logistics,Blue Dart Express Limited
BLUEJET.NS,Healthcare,Biotechnology,Blue Jet Healthcare Limited
BLUESTARCO.NS,Industrials,Building Products & Equipment,Blue Star Limited
BODALCHEM.NS,Basic Materials,Specialty Chemicals,Bodal Chemicals Limited
BTML.NS,Communication Services,Entertainment,Bodhi Tree Multimedia Limited
BOHRAIND.NS,Basic Materials,Agricultural Inputs,Bohra Industries Limited
BBTC.NS,Consumer Defensive,Packaged Foods,"The Bombay Burmah Trading Corporation, Limited"
BOMDYEING.NS,Consumer Cyclical,Textile Manufacturing,The Bombay Dyeing and Manufacturing Company Limited
BSHSL.NS,Basic Materials,Agricultural Inputs,Bombay Super Hybrid Seeds Limited
BORANA.NS,Consumer Cyclical,Textile Manufacturing,BORANA WEAVES LIMITED
BOROLTD.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Borosil Limited
BORORENEW.NS,Technology,Solar,Borosil Renewables Limited
BOROSCI.NS,Consumer Cyclical,Packaging & Containers,Borosil Scientific Limited
BOSCHLTD.NS,Consumer Cyclical,Auto Parts,Bosch Limited
BPL.NS,Technology,Consumer Electronics,BPL Limited
FIRSTCRY.NS,Consumer Cyclical,Internet Retail,BRAINBEES SOLUTIONS LTD
BCONCEPTS.NS,Consumer Cyclical,Footwear & Accessories,Brand Concepts Limited
BRIGADE.NS,Real Estate,Real Estate - Development,Brigade Enterprises Limited
BRITANNIA.NS,Consumer Defensive,Packaged Foods,Britannia Industries Limited
BSE.NS,Financial Services,Financial Data & Stock Exchanges,BSE Limited
BSL.NS,Consumer Cyclical,Textile Manufacturing,BSL Limited
BUTTERFLY.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Butterfly Gandhimathi Appliances Limited
MAPMYINDIA.NS,Technology,Software - Infrastructure,C. E. Info Systems Limited
CALSOFT.NS,Technology,Software - Application,California Software Company Limited
CTE.NS,Technology,Information Technology Services,Cambridge Technology Enterprises Limited
CAMLINFINE.NS,Basic Materials,Specialty Chemicals,Camlin Fine Sciences Limited
CAMPUS.NS,Consumer Cyclical,Footwear & Accessories,Campus Activewear Limited
CANFINHOME.NS,Financial Services,Mortgage Finance,Can Fin Homes Limited
CANBK.NS,Financial Services,Banks - Regional,Canara Bank
CANTABIL.NS,Consumer Cyclical,Apparel Manufacturing,Cantabil Retail India Limited
CAPACITE.NS,Industrials,Engineering & Construction,Capacit'e Infraprojects Limited
CIFL.NS,Financial Services,Credit Services,Capital India Finance Limited
CAPITALSFB.NS,Financial Services,Banks - Regional,Capital Small Finance Bank Limited
CAPTRUST.NS,Financial Services,Credit Services,Capital Trust Limited
CAPLIPOINT.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Caplin Point Laboratories Limited
CGCL.NS,Financial Services,Credit Services,Capri Global Capital Limited
CARBORUNIV.NS,Industrials,Conglomerates,Carborundum Universal Limited
CARERATING.NS,Financial Services,Financial Data & Stock Exchanges,CARE Ratings Limited
CARRARO.NS,Consumer Cyclical,Auto Parts,CARRARO INDIA LIMITED
CARTRADE.NS,Consumer Cyclical,Auto & Truck Dealerships,CarTrade Tech Limited
CARYSIL.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Carysil Limited
CASTROLIND.NS,Energy,Oil & Gas Refining & Marketing,Castrol India Limited
CCL.NS,Consumer Defensive,Packaged Foods,CCL Products (India) Limited
CEATLTD.NS,Consumer Cyclical,Auto Parts,CEAT Limited
CEIGALL.NS,Industrials,Engineering & Construction,CEIGALL INDIA LIMITED
CELEBRITY.NS,Consumer Cyclical,Apparel Manufacturing,Celebrity Fashions Limited
CELLO.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Cello World Limited
CENTRALBK.NS,Financial Services,Banks - Regional,Central Bank of India
CDSL.NS,Financial Services,Capital Markets,Central Depository Services (India) Limited
CENTRUM.NS,Financial Services,Financial Conglomerates,Centrum Capital Limited
CENTUM.NS,Technology,Electronic Components,Centum Electronics Limited
CENTENKA.NS,Consumer Cyclical,Textile Manufacturing,Century Enka Limited
CENTEXT.NS,Basic Materials,Aluminum,Century Extrusions Limited
CENTURYPLY.NS,Basic Materials,Lumber & Wood Production,Century Plyboards (India) Limited
CERA.NS,Industrials,Building Products & Equipment,Cera Sanitaryware Limited
CESC.NS,Utilities,Utilities - Regulated Electric,CESC Limited
CGPOWER.NS,Industrials,Electrical Equipment & Parts,CG Power and Industrial Solutions Limited
CHALET.NS,Consumer Cyclical,Lodging,Chalet Hotels Limited
CLSEL.NS,Consumer Defensive,Packaged Foods,Chaman Lal Setia Exports Ltd.
CHAMBLFERT.NS,Basic Materials,Agricultural Inputs,Chambal Fertilisers and Chemicals Limited
CHEMBOND.NS,Basic Materials,Specialty Chemicals,Chembond Material Technologies Limited
CHEMCON.NS,Basic Materials,Specialty Chemicals,Chemcon Speciality Chemicals Limited
CHEMFAB.NS,Basic Materials,Specialty Chemicals,Chemfab Alkalis Limited
CHEMPLASTS.NS,Basic Materials,Chemicals,Chemplast Sanmar Limited
CHENNPETRO.NS,Energy,Oil & Gas Refining & Marketing,Chennai Petroleum Corporation Limited
CHEVIOT.NS,Consumer Cyclical,Textile Manufacturing,Cheviot Company Limited
CHOICEIN.NS,Financial Services,Capital Markets,Choice International Limited
CHOLAHLDNG.NS,Financial Services,Credit Services,Cholamandalam Financial Holdings Limited
CHOLAFIN.NS,Financial Services,Credit Services,Cholamandalam Investment and Finance Company Limited
CIEINDIA.NS,Consumer Cyclical,Auto Parts,CIE Automotive India Limited
CIGNITITEC.NS,Technology,Information Technology Services,Cigniti Technologies Limited
CINELINE.NS,Communication Services,Entertainment,Cineline India Limited
CINEVISTA.NS,Communication Services,Entertainment,Cinevista Limited
CIPLA.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Cipla Limited
